City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,San Policarpo,PH,12.1791,125.5072,81.55,83,46,11.59,scattered clouds
226,Tessalit,ML,20.1986,1.0114,88.7,11,82,7.05,broken clouds
227,Cidreira,BR,-30.1811,-50.2056,70.84,86,100,17.63,light rain
228,Erdenet,MN,49.0333,104.0833,14.99,73,74,3.85,broken clouds
229,Yei,SS,4.095,30.6779,70.16,87,100,1.86,light rain
230,Pinheiral,BR,-22.5128,-44.0006,89.44,45,11,4.05,few clouds
231,Sept-Iles,CA,50.2001,-66.3821,26.06,90,100,10.36,light snow
232,Saint-Louis,SN,16.3333,-15.0,97.57,7,82,6.53,broken clouds
233,New Glasgow,CA,45.5834,-62.6486,46.78,79,100,4.32,overcast clouds
234,Vardo,NO,70.3705,31.1107,31.98,74,20,12.66,few clouds
235,Aneho,TG,6.2333,1.6,83.28,71,95,7.65,overcast clouds
236,Carnarvon,AU,-24.8667,113.6333,67.93,75,0,25.7,clear sky
237,Hauterive,FR,46.0901,3.4459,61.56,62,89,2.26,overcast clouds
238,Racale,IT,39.9631,18.0938,62.17,84,100,8.19,overcast clouds
239,Katsuura,JP,35.1333,140.3,68.02,72,73,18.12,broken clouds
240,Loja,EC,-3.9931,-79.2042,73.22,39,57,4.38,broken clouds
241,Hays,US,30.0502,-98.0336,50.09,44,6,4.0,clear sky
242,Vestmannaeyjar,IS,63.4427,-20.2734,49.37,89,100,48.18,light rain
243,Fortuna,US,40.5982,-124.1573,39.92,98,40,10.36,scattered clouds
244,Qaanaaq,GL,77.484,-69.3632,3.49,90,100,3.36,overcast clouds
245,Ostrovnoy,RU,68.0531,39.5131,35.1,62,100,19.95,light snow
246,Vodnyy,RU,63.5046,53.4095,18.07,96,100,6.2,light snow
247,Kisangani,CD,0.5167,25.2,74.84,84,83,0.87,broken clouds
248,Sinnamary,GF,5.3833,-52.95,81.16,80,95,10.71,overcast clouds
249,Avarua,CK,-21.2078,-159.775,71.65,73,20,9.22,few clouds
250,Lokosovo,RU,61.1333,74.8167,22.42,95,100,5.77,overcast clouds
251,Tevriz,RU,57.509,72.4042,32.25,98,100,6.91,light snow
252,Aktau,KZ,43.65,51.2,50.58,76,100,29.04,overcast clouds
253,Svobodnyy,RU,51.4,128.1333,14.68,91,100,5.01,overcast clouds
254,Sola,VU,-13.8833,167.55,80.37,74,90,3.0,overcast clouds
255,Mastic Beach,US,40.7668,-72.8521,50.7,89,100,16.11,overcast clouds
256,Korla,CN,41.7597,86.1469,36.59,49,0,2.55,clear sky
257,Dunyapur,PK,29.7995,71.7196,73.2,31,72,1.63,broken clouds
258,Varhaug,NO,58.6147,5.6457,53.89,88,99,12.39,overcast clouds
259,Lompoc,US,34.6391,-120.4579,52.52,81,0,4.61,clear sky
260,Imeni Poliny Osipenko,RU,52.4201,136.4853,10.8,97,12,1.77,few clouds
261,Ancud,CL,-41.8697,-73.8203,55.42,85,48,13.04,light rain
262,Tyret Pervaya,RU,53.6703,102.3106,24.39,75,99,3.65,overcast clouds
263,Hami,CN,42.8,93.45,34.63,47,0,3.15,clear sky
264,Kamaishi,JP,39.2667,141.8833,50.97,77,29,10.31,scattered clouds
265,San Rafael,AR,-34.6177,-68.3301,66.02,39,30,6.71,scattered clouds
266,Qaqortoq,GL,60.7167,-46.0333,30.43,91,98,8.03,overcast clouds
