City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
547,Santo Domingo,DO,86.94,scattered clouds,18.5001,-69.9886,Cabañas City Heart
552,Acarau,BR,89.13,scattered clouds,-2.8856,-40.12,castelo pizzaria
553,Mecca,SA,82.83,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
559,Alindao,CF,78.44,scattered clouds,5.0267,21.2088,OCHA Alindao
560,Boa Vista,BR,87.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
562,Yanam,IN,77.85,clear sky,16.7333,82.2167,The Regency Hotel
568,Kuah,MY,80.58,few clouds,6.3265,99.8432,Azio Hotel
572,Manavalakurichi,IN,78.64,very heavy rain,8.1333,77.3,Jebinrio home
573,Sulangan,PH,83.48,overcast clouds,11.1373,123.7228,Maia's Beach Resort
581,Buraydah,SA,79.25,clear sky,26.326,43.975,Mövenpick Qassim
583,Kilindoni,TZ,78.69,clear sky,-7.9139,39.6668,Bustani B&B
584,Techiman,GH,81.75,overcast clouds,7.5862,-1.9414,KONTINENTAL LODGE
586,Acajutla,SV,84.34,broken clouds,13.5928,-89.8275,CASA DE LA PERRA
590,Mtsamboro,YT,79.92,few clouds,-12.6998,45.0689,Coco Lodge Mayotte
593,Takoradi,GH,81.75,overcast clouds,4.8845,-1.7554,Raybow International Hotel
595,Mitu,CO,83.82,overcast clouds,1.1983,-70.1733,
596,Lagos,NG,88.12,scattered clouds,6.5833,3.75,
597,Pundaguitan,PH,82.36,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
601,Grand Gaube,MU,75.6,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
606,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
608,Umm Lajj,SA,80.56,clear sky,25.0213,37.2685,Moon light Furnished Units
609,Labuhan,ID,81.1,overcast clouds,-6.8844,112.2051,DoubleFAG
615,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
620,Inhambane,MZ,80.58,thunderstorm,-23.865,35.3833,Oceano
621,Bima,ID,78.73,overcast clouds,-8.4667,118.7167,Lambitu Hotel
627,Natal,BR,83.05,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
628,Wanning,CN,76.98,overcast clouds,18.8003,110.3967,Paradise Hotel
634,Tignere,CM,78.76,few clouds,7.3667,12.65,SADECK
636,Hobyo,SO,81.43,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
646,Birao,CF,83.53,clear sky,10.2849,22.7882,
648,Pagsangahan,PH,80.65,overcast clouds,13.2158,122.5431,
649,Kyabe,TD,88.02,clear sky,9.4515,18.9449,
650,Ternate,ID,81.36,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
664,Cururupu,BR,89.89,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
666,Malpe,IN,81.7,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
669,Aswan,EG,80.02,clear sky,24.0934,32.907,Nuba Nile
670,Itoman,JP,75.22,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
678,Auki,SB,76.14,overcast clouds,-8.7676,160.7034,Auki Motel
681,Banjar,ID,79.0,overcast clouds,-8.19,114.9675,The Hamsa Resort
683,Samarai,PG,81.68,scattered clouds,-10.6167,150.6667,Nuli Sapi
685,Pitimbu,BR,84.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
686,Srandakan,ID,76.98,overcast clouds,-7.9386,110.2506,Puri Brata
690,Ugoofaaru,MV,81.81,broken clouds,5.6667,73.0,Ungoofaaru Inn
693,Itarema,BR,88.36,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
696,Sabla,NG,87.42,clear sky,12.7525,4.7077,
700,Taiobeiras,BR,80.73,overcast clouds,-15.8078,-42.2331,Dallas Hotel
708,Vila Velha,BR,85.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
