City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Saint George,US,2022-11-11 23:26:26,37.1041,-113.5841,53.94,25,0,3.44
152,Port Elizabeth,ZA,2022-11-11 23:25:00,-33.918,25.5701,64.09,87,47,5.82
153,Labrea,BR,2022-11-11 23:29:17,-7.2586,-64.7981,73.26,98,79,2.26
154,Nome,US,2022-11-11 23:29:17,64.5011,-165.4064,19.47,69,0,11.5
155,Jiayuguan,CN,2022-11-11 23:29:18,39.8167,98.3,27.45,62,0,3.24
156,Hithadhoo,MV,2022-11-11 23:29:18,-0.6,73.0833,81.07,79,99,13.94
157,Moanda,GA,2022-11-11 23:29:19,-1.5575,13.2178,68.54,99,94,1.39
158,Ilo,PE,2022-11-11 23:29:19,-17.6394,-71.3375,65.82,81,44,7.76
159,Milkovo,RU,2022-11-11 23:29:19,54.7167,158.6167,14.99,82,55,3.65
160,Along,IN,2022-11-11 23:29:20,28.1667,94.7667,56.16,69,28,1.61
161,Mount Isa,AU,2022-11-11 23:29:20,-20.7333,139.5,82.17,61,43,5.75
162,Ambilobe,MG,2022-11-11 23:26:39,-13.2,49.05,71.2,80,29,2.48
163,College,US,2022-11-11 23:29:21,64.8569,-147.8028,20.59,88,100,3.44
164,Ancud,CL,2022-11-11 23:29:18,-41.8697,-73.8203,52.79,97,100,3.02
165,Coahuayana,MX,2022-11-11 23:29:23,18.7333,-103.6833,81.95,72,19,5.21
166,Provideniya,RU,2022-11-11 23:29:23,64.3833,-173.3,16.7,65,1,7.56
167,Raudeberg,NO,2022-11-11 23:29:24,61.9875,5.1352,50.67,1,100,15.88
168,Dunedin,NZ,2022-11-11 23:29:25,-45.8742,170.5036,61.92,56,100,7.56
169,Northam,GB,2022-11-11 23:29:25,51.0333,-4.2167,54.39,89,1,9.44
170,Nautla,MX,2022-11-11 23:29:26,20.2167,-96.7833,79.77,78,1,15.68
171,Batemans Bay,AU,2022-11-11 23:29:27,-35.7167,150.1833,67.1,70,12,4.88
172,Narsaq,GL,2022-11-11 23:19:41,60.9167,-46.05,23.22,95,100,3.56
173,Seoul,KR,2022-11-11 23:29:27,37.5683,126.9778,58.44,85,75,3.44
174,Chongwe,ZM,2022-11-11 23:29:27,-15.3292,28.682,66.42,82,51,3.24
175,Revelstoke,CA,2022-11-11 23:24:38,50.9832,-118.2023,28.42,64,100,0.0
176,Ossora,RU,2022-11-11 23:29:28,59.2353,163.0719,33.4,94,100,10.67
177,Tateyama,JP,2022-11-11 23:29:28,34.9833,139.8667,64.09,78,16,9.08
178,Portland,US,2022-11-11 23:25:04,45.5234,-122.6762,48.88,67,75,13.8
179,Ngunguru,NZ,2022-11-11 23:29:28,-35.6167,174.5,68.22,65,3,11.59
180,Oranjemund,NA,2022-11-11 23:29:29,-28.55,16.4333,58.91,85,1,4.38
181,Alenquer,BR,2022-11-11 23:30:29,-1.9417,-54.7383,79.97,61,33,2.77
182,Butaritari,KI,2022-11-11 23:30:31,3.0707,172.7902,81.66,75,75,13.73
183,Jalu,LY,2022-11-11 23:30:32,29.0331,21.5482,66.25,40,65,7.34
184,Sulangan,PH,2022-11-11 23:30:33,11.1373,123.7228,82.67,80,36,12.03
185,Srednekolymsk,RU,2022-11-11 23:21:33,67.45,153.6833,-27.9,100,90,3.47
186,Puerto Del Rosario,ES,2022-11-11 23:30:34,28.5004,-13.8627,71.35,83,75,11.5
187,Yakeshi,CN,2022-11-11 23:30:36,49.2833,120.7333,6.17,93,8,2.98
188,Sao Filipe,CV,2022-11-11 23:30:42,14.8961,-24.4956,77.34,72,84,6.51
189,Vila Velha,BR,2022-11-11 23:30:43,-20.3297,-40.2925,76.95,88,75,8.99
190,Itaituba,BR,2022-11-11 23:30:46,-4.2761,-55.9836,79.38,50,100,1.48
191,Geraldton,AU,2022-11-11 23:30:46,-28.7667,114.6,59.41,55,12,17.27
192,Mosquera,CO,2022-11-11 23:30:50,4.7059,-74.2302,57.29,88,20,5.75
193,Tambo,PE,2022-11-11 23:30:52,-14.8,-73.9167,34.36,57,40,5.06
194,Werda,BW,2022-11-11 23:30:52,-25.2667,23.2833,68.5,77,100,10.67
195,El Alto,PE,2022-11-11 23:30:54,-4.2714,-81.2147,64.06,84,53,19.13
196,Buchanan,LR,2022-11-11 23:30:55,5.8808,-10.0467,77.7,82,97,4.09
197,Coquimbo,CL,2022-11-11 23:30:55,-29.9533,-71.3436,62.33,72,0,9.22
198,Les Cayes,HT,2022-11-11 23:30:55,18.2,-73.75,79.27,80,36,2.42
199,Clyde River,CA,2022-11-11 23:30:57,70.4692,-68.5914,-5.57,65,75,8.05
200,Broken Hill,AU,2022-11-11 23:30:59,-31.95,141.4333,83.95,38,94,16.58
201,Port Hedland,AU,2022-11-11 23:27:51,-20.3167,118.5667,73.45,73,13,9.22
202,Luderitz,NA,2022-11-11 23:31:01,-26.6481,15.1594,56.88,85,4,5.82
203,Ulaangom,MN,2022-11-11 23:31:01,49.9811,92.0667,16.56,86,79,0.34
204,Viedma,AR,2022-11-11 23:31:01,-40.8135,-62.9967,55.71,88,100,8.3
205,Alice Springs,AU,2022-11-11 23:31:02,-23.7,133.8833,88.21,40,45,19.57
206,Bolatice,CZ,2022-11-11 23:31:04,49.9517,18.0836,51.49,90,100,3.51
207,Nanortalik,GL,2022-11-11 23:21:30,60.1432,-45.2371,23.4,88,100,7.31
208,Dingle,PH,2022-11-11 23:31:05,10.9995,122.6711,81.16,87,96,8.63
209,Bonthe,SL,2022-11-11 23:31:06,7.5264,-12.505,78.26,79,56,4.18
210,Sitka,US,2022-11-11 23:31:06,57.0531,-135.33,42.69,87,100,5.75
211,Samarai,PG,2022-11-11 23:31:07,-10.6167,150.6667,81.45,76,100,8.66
212,Touros,BR,2022-11-11 23:31:08,-5.1989,-35.4608,78.84,72,31,13.62
213,Paamiut,GL,2022-11-11 23:31:08,61.994,-49.6678,24.46,92,100,13.56
214,Santa Isabel Do Rio Negro,BR,2022-11-11 23:31:10,-0.4139,-65.0192,76.66,88,83,0.96
215,Tuatapere,NZ,2022-11-11 23:31:11,-46.1333,167.6833,60.91,67,100,7.16
216,Olafsvik,IS,2022-11-11 23:31:13,64.8945,-23.7142,41.34,92,100,12.57
217,Neuquen,AR,2022-11-11 23:31:14,-38.9516,-68.0591,58.89,88,75,2.3
218,Semnan,IR,2022-11-11 23:31:14,35.5729,53.3971,51.64,32,0,2.3
219,Trelew,AR,2022-11-11 23:32:15,-43.249,-65.3051,57.63,81,100,17.72
220,Padang,ID,2022-11-11 23:32:15,-0.9492,100.3543,76.82,90,100,3.6
221,Kaeo,NZ,2022-11-11 23:32:16,-35.1,173.7833,74.32,77,22,10.78
222,Winnemucca,US,2022-11-11 23:32:16,40.973,-117.7357,37.45,56,0,10.36
223,Arman,RU,2022-11-11 23:32:17,59.7,150.1667,-1.12,81,3,8.1
224,Mackay,AU,2022-11-11 23:31:23,-21.15,149.2,83.68,59,3,8.43
225,Ahipara,NZ,2022-11-11 23:32:18,-35.1667,173.1667,67.68,71,22,11.12
226,Mariani,IN,2022-11-11 23:32:25,26.6667,94.3333,61.86,95,4,1.1
227,Grand Gaube,MU,2022-11-11 23:32:26,-20.0064,57.6608,72.0,74,35,3.0
228,Half Moon Bay,US,2022-11-11 23:30:53,37.4636,-122.4286,62.51,60,0,13.8
229,Tucumcari,US,2022-11-11 23:32:27,35.1717,-103.725,42.94,30,0,3.44
230,Georgetown,MY,2022-11-11 23:32:29,5.4112,100.3354,78.73,92,40,3.44
231,Ulladulla,AU,2022-11-11 23:32:29,-35.35,150.4667,68.77,75,16,7.74
232,Verkhnevilyuysk,RU,2022-11-11 23:32:30,63.4453,120.3167,1.99,93,100,7.18
233,Yulara,AU,2022-11-11 23:32:30,-25.2406,130.9889,85.77,19,17,3.71
234,Yangambi,CD,2022-11-11 23:32:31,0.8102,24.4336,66.69,100,98,0.72
235,Hirara,JP,2022-11-11 23:32:32,24.8,125.2833,80.46,89,40,10.36
236,Santa Elena,EC,2022-11-11 23:32:33,-2.2333,-80.85,69.35,88,100,11.5
237,Borova,UA,2022-11-11 23:32:34,50.1763,30.1043,43.34,94,93,6.49
238,Khandyga,RU,2022-11-11 23:32:34,62.6667,135.6,1.65,95,100,7.83
239,Fortuna,US,2022-11-11 23:32:21,40.5982,-124.1573,52.93,90,100,12.66
240,Rio Cuarto,AR,2022-11-11 23:32:36,-33.1307,-64.3499,65.97,88,75,5.75
241,La Tuque,CA,2022-11-11 23:32:36,47.4334,-72.7824,52.05,87,100,2.3
242,Constitucion,CL,2022-11-11 23:32:37,-35.3333,-72.4167,55.53,93,96,14.25
243,Klaksvik,FO,2022-11-11 23:32:40,62.2266,-6.589,50.92,81,58,26.19
244,Mingshui,CN,2022-11-11 23:32:48,36.7167,117.5,59.36,96,87,8.19
245,Natal,BR,2022-11-11 23:32:05,-5.795,-35.2094,81.25,73,20,17.27
246,Barnstaple,GB,2022-11-11 23:33:05,51.0802,-4.0581,54.99,89,1,8.39
247,Brazzaville,CG,2022-11-11 23:33:06,-4.2658,15.2832,69.58,95,83,0.18
248,Cabo San Lucas,MX,2022-11-11 23:28:24,22.8909,-109.9124,80.62,64,40,11.5
249,Southbridge,US,2022-11-11 23:33:06,42.0751,-72.0334,64.92,97,100,3.0
250,Madimba,TZ,2022-11-11 23:33:07,-10.4,40.3333,74.7,87,57,5.03
251,Qaqortoq,GL,2022-11-11 23:33:08,60.7167,-46.0333,21.52,91,100,3.85
252,Bima,ID,2022-11-11 23:33:09,-8.4667,118.7167,83.19,79,100,2.42
253,Huarmey,PE,2022-11-11 23:33:10,-10.0681,-78.1522,65.08,82,37,9.62
254,Pierre,US,2022-11-11 23:33:10,44.3683,-100.351,18.52,81,100,12.66
255,Souillac,MU,2022-11-11 23:33:11,-20.5167,57.5167,71.98,78,75,3.44
256,Salihorsk,BY,2022-11-11 23:33:12,52.7876,27.5415,44.58,96,100,8.97
257,Ust-Shonosha,RU,2022-11-11 23:33:13,61.1531,41.343,46.62,81,96,11.1
258,Longyearbyen,SJ,2022-11-11 23:33:14,78.2186,15.6401,17.44,79,0,12.66
259,Cimislia,MD,2022-11-11 23:33:15,46.52,28.7842,44.74,60,100,4.85
260,The Valley,AI,2022-11-11 23:33:19,18.217,-63.0578,80.74,83,20,10.36
261,Dezful,IR,2022-11-11 23:33:19,32.3811,48.4058,68.81,65,100,2.33
262,Sabha,LY,2022-11-11 23:33:20,27.0377,14.4283,60.62,41,0,11.21
263,Makakilo City,US,2022-11-11 23:33:21,21.3469,-158.0858,80.92,50,100,13.8
264,Sobolevo,RU,2022-11-11 23:33:22,54.4299,31.8996,45.34,93,100,13.24
